input,output
<wiRTax-gu>A3,wiRTanwyo gAvo yasmin kAle
<vahax-gu>A3,vahanwi gAvo yasmin kAle
<AyawI-gavam>A3,Ayawyo gAvo yasmin kAle
<Kale-yavam>A3,Kale yavam
<Kale-busam>A3,Kale busam 
<lUna-yavam>A3,lUne yavam
<lUyamAna-yavam>A3,lUyamAne yavam
<pUwa-yavam>A3,pUwe yavam
<pUyamAna-yavam>A3,pUyamAne yavam
<saMhUwa-yavam>A3,saMhUwe yavam
<saMhriyamANa-yavam>A3,saMhriyamANe yavam
<saMhUwa-busam>A3,saMhUwe busam
<saMhriyamANa-busam>A3,saMhriyamANe busam
<sama-BUmi>A3,samam BUmiH
<sama-paxAwi>A3,samam paxAwi
<su-Ramam>A3,suRTu samaM sarvaM yasmAw
<vi-Ramam>A3,vigawena samam
<xuR-Ramam>A3,xuRtaM samam
<niR-Ramam>A3,nirgawaM samam
<apara-samam>A3,aparaM samam
<AyawI-samam>A3,AyawI samam
<pra-hNam>A3,pragawawvam ahnaH
<pra-raWam>A3,prakqRtaH raWaH
<pra-mqgam>A3,prakqRtaH mqgaH
<pra-xakRiNam>A3,prakqRtaH xakRiNaH
<apara-xakRiNam>A3,aparaH xakRiNaH
<sam-prawi>A3,samprawi kAle
<asam-prawi>A3,na samprawi kAle
<pApa-samam>A3,pApA samA
<puNya-samam>A3,puNyA samA
